reviews.text,label
This product is great!,2
"Terrible experience, will not buy again.",0
"Average quality, nothing special.",1
"Absolutely loved it, highly recommend.",2
"Not what I expected, quite bad.",0
"Excellent sound quality and battery life!",2
"Value for money.",2
"Delivered on time, works perfectly!",2
"Impressive camera for the price.",2
"User-friendly and stylish.",2
"Stopped working within a week.",0
"Battery drains too fast.",0
"Too bulky and uncomfortable.",0
"Software is buggy.",0
"Poor customer service.",0
"Decent for the price.",1
"Meets expectations.",1
"Basic functionality works.",1
"Average experience.",1
"Looks good, performance yet to be tested.",1
"Mixed feelings.",1

